nsl@nsl:~$ python3 sim5.py
[MPC] Ready. Start/Return=L2(0.175), Trace=L1(0.475)

============================================================
  HIL Sim: 1st Lane Trace (+30cm) & Return
  Control: Trace(MPC) -> Return(P-Control to Saved Y)
  Start: L2 Center (0.175)
  Trace: L1 Center (0.475)
  Press [Enter] to Start
============================================================


[Count] Starting in 5 seconds...
[HIL Sim] Simulation Started! Logs will scroll below:

 STEP  |  GAP (cm)  | ROI Pts | STEER (deg)  |      STATE      | Target Y
---------------------------------------------------------------------------
     5 | 176.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    10 | 161.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    15 | 146.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    20 | 131.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    25 | 116.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    30 | 101.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    35 |  86.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    40 |  71.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    45 |  56.9      |       0 |      -0.00   | KEEP_L2         | 0.175
    50 |  41.9      |       0 |      -0.00   | KEEP_L2         | 0.175
   [MEMORY] Saved Return Target Y: 0.175
    55 |  27.0      |       0 |       6.34   | TRACE_L1        | 0.475
    60 |  12.6      |       0 |      -1.22   | TRACE_L1        | 0.475
    65 |   0.0      |       0 |      -1.20   | TRACE_L1        | 0.475
    70 |   0.0      |       0 |      -1.13   | TRACE_L1        | 0.475
    75 |   0.0      |       0 |      -1.07   | TRACE_L1        | 0.475
    80 |   0.0      |       0 |      -1.01   | TRACE_L1        | 0.475
    85 |   0.0      |       0 |      -0.95   | TRACE_L1        | 0.475
    90 |   0.0      |       0 |      -0.90   | TRACE_L1        | 0.475
    95 |   0.0      |       0 |      -0.85   | TRACE_L1        | 0.475
   100 |   0.0      |       0 |      -0.80   | TRACE_L1        | 0.475
   105 |    -        |       0 |     -13.35   | RETURNING(P)    | 0.175
   110 |    -        |       0 |      -9.05   | RETURNING(P)    | 0.175
   115 |    -        |       0 |      -5.58   | RETURNING(P)    | 0.175
   120 |    -        |       0 |      -2.85   | RETURNING(P)    | 0.175
   125 |    -        |       0 |      -0.77   | RETURNING(P)    | 0.175
   130 |    -        |       0 |       0.75   | RETURNING(P)    | 0.175
   135 |    -        |       0 |       1.78   | RETURNING(P)    | 0.175
   140 |    -        |       0 |       2.40   | RETURNING(P)    | 0.175
   145 |    -        |       0 |       2.70   | KEEP_L2         | 0.175
   150 |    -        |       0 |       2.75   | KEEP_L2         | 0.175
   155 |    -        |       0 |       2.62   | KEEP_L2         | 0.175
   160 |    -        |       0 |       2.38   | KEEP_L2         | 0.175
   165 |    -        |       0 |       2.06   | KEEP_L2         | 0.175
   170 |    -        |       0 |       1.72   | KEEP_L2         | 0.175
   175 |    -        |       0 |       1.38   | KEEP_L2         | 0.175
   180 |    -        |       0 |       1.07   | KEEP_L2         | 0.175
   185 |    -        |       0 |       0.78   | KEEP_L2         | 0.175
   190 |    -        |       0 |       0.54   | KEEP_L2         | 0.175
   195 |    -        |       0 |       0.34   | KEEP_L2         | 0.175
   200 |    -        |       0 |       0.18   | KEEP_L2         | 0.175
   205 |    -        |       0 |       0.05   | KEEP_L2         | 0.175
   210 |    -        |       0 |      -0.04   | KEEP_L2         | 0.175
   215 |    -        |       0 |      -0.10   | KEEP_L2         | 0.175
   220 |    -        |       0 |      -0.13   | KEEP_L2         | 0.175
   225 |    -        |       0 |      -0.15   | KEEP_L2         | 0.175
   230 |    -        |       0 |      -0.15   | KEEP_L2         | 0.175
   235 |    -        |       0 |      -0.15   | KEEP_L2         | 0.175
   240 |    -        |       0 |      -0.13   | KEEP_L2         | 0.175
   245 |    -        |       0 |      -0.12   | KEEP_L2         | 0.175
   250 |    -        |       0 |      -0.10   | KEEP_L2         | 0.175
   255 |    -        |       0 |      -0.08   | KEEP_L2         | 0.175
   260 |    -        |       0 |      -0.06   | KEEP_L2         | 0.175
   265 |    -        |       0 |      -0.05   | KEEP_L2         | 0.175
   270 |    -        |       0 |      -0.03   | KEEP_L2         | 0.175
   275 |    -        |       0 |      -0.02   | KEEP_L2         | 0.175
   280 |    -        |       0 |      -0.01   | KEEP_L2         | 0.175
   285 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   290 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   295 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   300 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   305 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   310 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   315 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   320 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   325 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   330 |    -        |       0 |       0.01   | KEEP_L2         | 0.175
   335 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   340 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   345 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   350 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   355 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   360 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   365 |    -        |       0 |       0.00   | KEEP_L2         | 0.175
   370 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   375 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   380 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   385 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   390 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   395 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   400 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
   405 |    -        |       0 |      -0.00   | KEEP_L2         | 0.175
